word,count,type,freq,ln(freq),hsk
听故事说中文,2,token,,,
故事说中文,3,token,,,
事说,4,token,,,
说中,5,token,,,
说中文,4,token,,,
听得越多说,2,token,,,
得越,3,token,,,
越多,4,token,,,
多,54,unknown,,,
说得,2,token,,,
越好,2,token,,,
故事解读,3,token,,,
解读故事,2,token,,,
期的,2,token,,,
的节,6,token,,,
的节目,2,token,,,
我们的,6,token,,,
们的,12,token,,,
在这里,2,token,,,
谢我们的,2,token,,,
你们的支持,2,token,,,
的支持,3,token,,,
就没,4,token,,,
就没有,2,token,,,
有这,2,token,,,
这一,6,token,,,
一,182,unknown,,,
的故事,5,token,,,
非常好,2,token,,,
们就,3,token,,,
有一,19,token,,,
有一个,13,token,,,
一个,75,token,,,
个安,2,token,,,
的端午节,6,token,,,
说到,5,token,,,
今年的端午节,3,token,,,
年的,6,token,,,
做了,9,token,,,
做了什么,5,token,,,
做了什么呢,2,token,,,
了什么,6,token,,,
什么呢,6,token,,,
吃粽子,16,token,,,
吃粽子了,3,token,,,
了吗,3,token,,,
吃了,2,token,,,
馅的,2,token,,,
吃的,8,token,,,
的是,3,token,,,
肉的,2,token,,,
咸的,2,token,,,
是吧,55,token,,,
你想,7,token,,,
我在,6,token,,,
我在哪里吃的,2,token,,,
在哪,5,token,,,
在哪里吃的,3,token,,,
里吃,4,token,,,
吃的吗,2,token,,,
的吗,5,token,,,
你在,3,token,,,
也是,14,token,,,
是我,11,token,,,
我们不,5,token,,,
我们不是,3,token,,,
们不,8,token,,,
们不是,4,token,,,
不是在,3,token,,,
是在,11,token,,,
是在一,3,token,,,
是在一个,2,token,,,
在一,18,token,,,
在一个,4,token,,,
一个地方,2,token,,,
个地方,6,token,,,
没错,18,token,,,
你是,4,token,,,
是不,14,token,,,
还在,2,token,,,
其实我,3,token,,,
其实我们,2,token,,,
们是,5,token,,,
个朋友,2,token,,,
过的,4,token,,,
他们做了,2,token,,,
们做,3,token,,,
了粽子,3,token,,,
到这个,2,token,,,
这个粽子,2,token,,,
粽子呀,2,token,,,
我后来才,2,token,,,
知道在中国,2,token,,,
在中国,21,token,,,
不同的,2,token,,,
的地方,8,token,,,
地方有,2,token,,,
不一样的,3,token,,,
一样的,7,token,,,
样的,14,token,,,
的粽子,11,token,,,
就是在,5,token,,,
就是在中国,3,token,,,
是在中国,4,token,,,
在中国的,4,token,,,
中国的,11,token,,,
国的,25,token,,,
它的,2,token,,,
粽子是,3,token,,,
所以我,5,token,,,
我的,12,token,,,
我的老家,2,token,,,
的老,5,token,,,
老家在,2,token,,,
家在,3,token,,,
所以我们,2,token,,,
我们那,5,token,,,
吃粽子的,2,token,,,
子的,4,token,,,
的话,13,token,,,
一般是,4,token,,,
你们吃,2,token,,,
们吃,5,token,,,
甜的,3,token,,,
甜的粽子,2,token,,,
也不,2,token,,,
就是一,6,token,,,
就是一般是,2,token,,,
是一,31,token,,,
是用,4,token,,,
红枣或,2,token,,,
或者是,2,token,,,
在一起,11,token,,,
在一起做,2,token,,,
做的,18,token,,,
后有,4,token,,,
的时,25,token,,,
的时候,24,token,,,
时候你,2,token,,,
你可以,7,token,,,
点,6,unknown,,,
那我,4,token,,,
我不,4,token,,,
所以你,4,token,,,
是说,12,token,,,
粽子里面,2,token,,,
里面的,4,token,,,
我以,3,token,,,
我以前,2,token,,,
都不,2,token,,,
还可以,2,token,,,
我觉得,9,token,,,
得很,2,token,,,
很有,8,token,,,
很有意思,2,token,,,
因为我,5,token,,,
来我,2,token,,,
我去,3,token,,,
我说,2,token,,,
怎么还有甜的,2,token,,,
但是我,3,token,,,
第一,2,token,,,
一次,2,token,,,
十,4,unknown,,,
三,7,unknown,,,
在我,6,token,,,
在我的,2,token,,,
个小,8,token,,,
那个时候,4,token,,,
个时,5,token,,,
有吃,2,token,,,
的这,7,token,,,
的这个,3,token,,,
个说法,2,token,,,
所以大家,3,token,,,
大家还,3,token,,,
要去,2,token,,,
地方大家,2,token,,,
大家都,2,token,,,
家都,3,token,,,
还真,2,token,,,
真的,3,token,,,
的不,3,token,,,
不吃,2,token,,,
那你,2,token,,,
前我,2,token,,,
