simp,trad
丢,丟
乱,亂
亚,亞
千,仟
百,佰
来,來
侣,侶
侠,俠
俩,倆
仓,倉
个,個
们,們
伦,倫
伟,偉
侧,側
侦,偵
伪,偽
杰,傑
伞,傘
备,備
佣,傭
传,傳
债,債
伤,傷
倾,傾
仅,僅
侨,僑
仪,儀
亿,億
俭,儉
偿,償
优,優
储,儲
兑,兌
儿,兒
内,內
两,兩
册,冊
净,凈
冻,凍
凛,凜
凯,凱
别,別
则,則
刹,剎
刚,剛
剥,剝
创,創
剧,劇
刘,劉
剑,劍
剂,劑
劲,勁
动,動
务,務
胜,勝
劳,勞
势,勢
励,勵
劝,勸
匀,勻
区,區
协,協
却,卻
厌,厭
厉,厲
参,參
丛,叢
吴,吳
吕,呂
员,員
念,唸
问,問
哑,啞
启,啟
唤,喚
丧,喪
乔,喬
单,單
哟,喲
吗,嗎
呜,嗚
叹,嘆
尝,嘗
哗,嘩
啸,嘯
喷,噴
吨,噸
吓,嚇
严,嚴
嘱,囑
国,國
围,圍
园,園
圆,圓
图,圖
团,團
执,執
坚,堅
报,報
场,場
块,塊
涂,塗
尘,塵
坠,墜
堕,墮
坟,墳
压,壓
垒,壘
垄,壟
坝,壩
壮,壯
壶,壺
寿,壽
够,夠
梦,夢
夹,夾
奥,奧
夺,奪
奋,奮
妆,妝
娱,娛
妇,婦
妈,媽
娇,嬌
婴,嬰
孙,孫
宫,宮
实,實
宁,寧
审,審
写,寫
宽,寬
宠,寵
宝,寶
将,將
专,專
寻,尋
对,對
导,導
届,屆
尸,屍
层,層
属,屬
冈,岡
岛,島
峡,峽
岗,崗
崭,嶄
岭,嶺
帅,帥
师,師
帐,帳
带,帶
帜,幟
币,幣
帮,幫
库,庫
厕,廁
厢,廂
厦,廈
厨,廚
庙,廟
厂,廠
废,廢
广,廣
庐,廬
厅,廳
张,張
强,強
弹,彈
弥,彌
弯,彎
彦,彥
径,徑
从,從
彻,徹
恒,恆
耻,恥
悦,悅
闷,悶
恶,惡
恼,惱
爱,愛
态,態
惨,慘
惯,慣
虑,慮
庆,慶
忧,憂
怜,憐
凭,憑
愤,憤
宪,憲
忆,憶
恳,懇
应,應
惩,懲
懒,懶
怀,懷
悬,懸
惧,懼
恋,戀
战,戰
戏,戲
户,戶
抛,拋
扫,掃
挣,掙
挂,掛
拣,揀
扬,揚
换,換
挥,揮
损,損
摇,搖
捣,搗
抢,搶
搂,摟
捞,撈
撑,撐
拨,撥
抚,撫
扑,撲
捡,撿
拥,擁
择,擇
击,擊
挡,擋
担,擔
据,據
挤,擠
拟,擬
搁,擱
掷,擲
扩,擴
摆,擺
扰,擾
拢,攏
拦,攔
携,攜
摄,攝
摊,攤
搅,攪
败,敗
叙,敘
敌,敵
数,數
毙,斃
斩,斬
断,斷
时,時
晋,晉
昼,晝
晕,暈
畅,暢
暂,暫
晓,曉
旷,曠
晒,曬
书,書
会,會
胧,朧
东,東
条,條
弃,棄
栋,棟
杨,楊
枫,楓
业,業
极,極
荣,榮
构,構
枪,槍
桩,樁
乐,樂
楼,樓
标,標
枢,樞
样,樣
树,樹
桥,橋
机,機
横,橫
档,檔
检,檢
栏,欄
权,權
钦,欽
欧,歐
欢,歡
岁,歲
归,歸
残,殘
杀,殺
壳,殼
毁,毀
气,氣
决,決
没,沒
况,況
汹,洶
凉,涼
泪,淚
沦,淪
渊,淵
浅,淺
减,減
测,測
浑,渾
凑,湊
汤,湯
沟,溝
温,溫
灭,滅
沪,滬
滞,滯
滚,滾
满,滿
渔,漁
汉,漢
涨,漲
渐,漸
浆,漿
泼,潑
洁,潔
潜,潛
润,潤
溃,潰
浇,澆
泽,澤
浓,濃
湿,濕
济,濟
涛,濤
滥,濫
滨,濱
泻,瀉
潇,瀟
滩,灘
湾,灣
灾,災
为,為
乌,烏
无,無
炼,煉
烦,煩
热,熱
灯,燈
烧,燒
烫,燙
营,營
灿,燦
烛,燭
烁,爍
炉,爐
烂,爛
争,爭
爷,爺
尔,爾
墙,牆
牵,牽
牺,犧
状,狀
狭,狹
犹,猶
狱,獄
狮,獅
奖,獎
独,獨
猎,獵
兽,獸
献,獻
现,現
玛,瑪
环,環
琼,瓊
什,甚
产,產
亩,畝
毕,畢
画,畫
异,異
叠,疊
疯,瘋
疗,療
痒,癢
症,癥
皱,皺
盗,盜
监,監
盘,盤
卢,盧
众,眾
睁,睜
瞒,瞞
硕,碩
确,確
码,碼
砖,磚
础,礎
碍,礙
矿,礦
只,祇
祸,禍
禅,禪
礼,禮
秃,禿
税,稅
种,種
称,稱
稣,穌
积,積
颖,穎
稳,穩
窝,窩
穷,窮
窑,窯
窜,竄
窃,竊
竞,競
笔,筆
节,節
筑,築
简,簡
签,簽
篮,籃
筹,籌
笼,籠
粪,糞
粮,糧
纠,糾
纪,紀
约,約
红,紅
纹,紋
纳,納
纽,紐
纯,純
纱,紗
纸,紙
级,級
纷,紛
纺,紡
细,細
绅,紳
绍,紹
终,終
组,組
结,結
绝,絕
绞,絞
络,絡
给,給
绒,絨
统,統
丝,絲
绑,綁
经,經
综,綜
绿,綠
绸,綢
维,維
纲,綱
网,網
绰,綽
绵,綿
紧,緊
绪,緒
线,線
缘,緣
编,編
缓,緩
缅,緬
练,練
缚,縛
县,縣
缝,縫
缩,縮
纵,縱
缕,縷
总,總
绩,績
织,織
绕,繞
绣,繡
绳,繩
绘,繪
缴,繳
继,繼
续,續
缠,纏
才,纔
纤,纖
缆,纜
罚,罰
骂,罵
罢,罷
罗,羅
义,義
习,習
翘,翹
圣,聖
闻,聞
联,聯
聪,聰
声,聲
耸,聳
职,職
听,聽
聋,聾
肃,肅
胁,脅
脉,脈
脱,脫
胀,脹
脑,腦
肿,腫
脚,腳
肠,腸
肤,膚
胶,膠
腻,膩
胆,膽
脸,臉
卧,臥
临,臨
与,與
兴,興
举,舉
旧,舊
舱,艙
舰,艦
艰,艱
艳,艷
兹,茲
庄,莊
华,華
莱,萊
万,萬
着,著
苍,蒼
盖,蓋
莲,蓮
蒋,蔣
葱,蔥
荫,蔭
荡,蕩
萧,蕭
荐,薦
萨,薩
蓝,藍
艺,藝
药,藥
芦,蘆
苏,蘇
蕴,蘊
苹,蘋
兰,蘭
萝,蘿
处,處
虚,虛
号,號
亏,虧
蚀,蝕
虾,蝦
虫,蟲
蜡,蠟
蛮,蠻
术,術
卫,衛
补,補
装,裝
裤,褲
衬,襯
